AUC,Accuracy,CappedBinomialDeviance,LogLoss,MAE,MSE
0.83842916896015218,0.79785714285714282,0.184373837573131,0.42453644993401374,0.27866050496786327,0.13755136048552524
0.83877250983122398,0.79654761904761906,0.18506757312077318,0.42612947442130467,0.28420634105952436,0.13803550666171577
0.83855988581297336,0.80095238095238097,0.18433718725408618,0.4244520594557108,0.2783160674999991,0.13707465453066189
0.8336933926740806,0.79166666666666663,0.18678693908314731,0.43008921787524745,0.28000726190476277,0.13949270226190469
0.83435636061877294,0.79761904761904767,0.18618923331267417,0.428716553101752,0.27767696095857058,0.13853945728763498
0.83425888672740944,0.79654761904761906,0.18634661181004908,0.42905053402461768,0.27243904492518545,0.13865483956304092
0.83522369639763416,0.79714285714285715,0.18597812038092296,0.42824125760117482,0.27971544315785613,0.13847209327596513
0.83281801893626739,0.79678571428571432,0.18760647092454485,0.43229094931538725,0.2765059647603243,0.13948144393133199
0.83651184296868808,0.79488095238095235,0.18705621400176939,0.43070695630065065,0.28489438182380789,0.13964166432479749
0.83429260250998183,0.79940476190476195,0.18616724704875054,0.42866592785818969,0.27721837661726256,0.13864207817678362
0.83464903688884873,0.79916666666666669,0.1856830679377503,0.42748155519450243,0.27750132357714319,0.13868268767464842
0.834482058293606,0.79880952380952386,0.18574462390189081,0.42761932640347095,0.2776228488485713,0.13872923381611738
0.834482058293606,0.79880952380952386,0.18574462390189081,0.42761932640347095,0.2776228488485713,0.13872923381611738
0.834482058293606,0.79880952380952386,0.18574462390189081,0.42761932640347095,0.2776228488485713,0.13872923381611738
0.83456807536564892,0.79821428571428577,0.18569270227435775,0.42749442727189679,0.27724867108238099,0.13870976518971068
0.83411536733363301,0.79880952380952386,0.18586588717993779,0.4278905980229365,0.27716989217714239,0.13880706101621615
0.83227547489243503,0.79285714285714282,0.18925655916456763,0.4357781354151255,0.29196712487233972,0.14073553201238415
0.82785801632920453,0.79464285714285721,0.18941006216402703,0.43616315147265883,0.28185004649444811,0.14104753659679722
0.8256944596494824,0.79559523809523813,0.19000515825305797,0.4375030449854671,0.28245420753136063,0.14148908509310468
0.83005114251403056,0.79273809523809524,0.18829152400066726,0.43355725630106917,0.27878212448229883,0.14037829767373944
0.82978759929879897,0.7929761904761905,0.18914382871889979,0.43551976043995694,0.27675723806626079,0.14118357145297034
0.82340491432808738,0.79821428571428577,0.19070543069512841,0.43911548187161126,0.28390788690476187,0.14205409103143402
0.83093215373436657,0.79726190476190473,0.18874683168620549,0.43460564099050963,0.26800373942871741,0.14052716006322319
0.82404609613064295,0.79142857142857137,0.19130492440002467,0.44046277577103093,0.28453373858128178,0.14307313026020232
0.82320832985688575,0.78940476190476194,0.19177471188504139,0.44161675515300403,0.28868709773809675,0.14380224378630491
0.82305469936542319,0.79369047619047617,0.19108306680286213,0.44005701033238076,0.28222899907879667,0.14200750515474542
0.82268597163757085,0.78916666666666668,0.19140978962318728,0.44073732823947692,0.28295322797619205,0.14303473615616008
0.82793450423724102,0.79369047619047617,0.18982067592152393,0.43707825871895367,0.27359125050772493,0.14113123775208519
0.8270432728066538,0.79285714285714282,0.18998579565070023,0.4375100770372608,0.27632633662761946,0.14233206780773444
0.82135236149778379,0.78607142857142853,0.19294855719510973,0.44428047151217132,0.29202124185571449,0.14466316714926461
0.81634238533596959,0.79083333333333328,0.19386856311050416,0.44638764365452804,0.2877187664749995,0.14518078020724653
0.81548719742267395,0.7913095238095238,0.19455386042054276,0.44808562422120762,0.29422067813892816,0.14481640964093218
